customer_idx,customer_id,row,col,cell_linear,weight,volume,priority,cluster,vehicle_id,depot_id
82,C000187,1755,634,4605754,7.690000,0.091000,2.000000,-1,,
83,C000191,1178,943,3092015,3.110000,0.044000,2.000000,33,V0064,D001_2
84,C000193,113,478,296990,15.830000,0.211000,2.000000,27,V0064,D001_2
85,C000195,2568,2076,6740508,5.350000,0.161000,3.000000,6,V0127,D001_1
86,C000197,252,87,661335,10.330000,0.233000,3.000000,24,V0064,D001_2
87,C000200,185,522,485962,7.380000,0.227000,2.000000,27,V0064,D001_2
88,C000202,726,1737,1906761,10.510000,0.128000,2.000000,55,V0267,D001_4
89,C000207,524,471,1375447,0.910000,0.019000,2.000000,24,V0064,D001_2
90,C000210,832,2250,2185418,17.170000,0.204000,1.000000,50,V0267,D001_4
91,C000213,592,2247,1555655,22.889999,0.153000,3.000000,53,V0267,D001_4
92,C000215,1507,433,3954801,18.610001,0.242000,2.000000,29,V0064,D001_2
93,C000217,1146,1028,3008132,4.970000,0.023000,1.000000,33,V0064,D001_2
94,C000218,2404,201,6308297,2.110000,0.078000,2.000000,-1,,
95,C000220,1476,2352,3875376,23.309999,0.062000,2.000000,4,V0127,D001_1
96,C000221,2205,523,5786443,0.570000,0.100000,2.000000,-1,,
97,C000223,2405,1891,6312611,18.490000,0.045000,1.000000,1,V0127,D001_1
98,C000226,588,1527,1544439,16.980000,0.140000,2.000000,34,V0064,D001_2
99,C000229,2088,2355,5481267,15.110000,0.075000,3.000000,7,V0127,D001_1
100,C000230,2519,1425,6611281,23.209999,0.200000,2.000000,-1,,
101,C000231,2013,773,5282885,21.469999,0.116000,2.000000,-1,,
102,C000232,1885,233,4946473,2.890000,0.235000,2.000000,26,V0064,D001_2
103,C000233,2227,38,5843686,13.100000,0.237000,1.000000,26,V0064,D001_2
104,C000236,138,474,362586,7.060000,0.160000,2.000000,24,V0064,D001_2
105,C000237,550,1094,1444294,5.530000,0.109000,2.000000,31,V0064,D001_2
106,C000241,2068,2163,5428595,9.130000,0.238000,2.000000,7,V0127,D001_1
107,C000244,633,281,1661273,10.420000,0.241000,3.000000,30,V0064,D001_2
108,C000245,2339,862,6138398,23.059999,0.013000,1.000000,-1,,
109,C000248,9,2093,25709,22.309999,0.203000,2.000000,62,V0004,D001_5
110,C000251,1525,2054,4003654,9.780000,0.245000,3.000000,58,V0267,D001_4
111,C000252,524,2521,1377497,5.890000,0.184000,2.000000,-1,,
112,C000254,2622,362,6880490,23.200001,0.145000,2.000000,-1,,
113,C000255,1087,2390,2854678,5.620000,0.126000,2.000000,50,V0267,D001_4
114,C000259,2468,2231,6478263,18.129999,0.232000,3.000000,3,V0127,D001_1
115,C000260,328,591,861263,4.240000,0.043000,2.000000,27,V0064,D001_2
116,C000262,1117,1945,2932953,14.450000,0.136000,2.000000,55,V0267,D001_4
117,C000264,409,1422,1074638,13.370000,0.161000,2.000000,28,V0064,D001_2
118,C000265,2317,1596,6081404,18.709999,0.138000,2.000000,1,V0127,D001_1
119,C000266,2428,1032,6372104,4.480000,0.208000,2.000000,37,V0049,D001_3
120,C000267,2397,1308,6291036,11.180000,0.139000,1.000000,42,V0049,D001_3
121,C000268,1309,650,3435466,12.240000,0.020000,2.000000,32,V0064,D001_2
122,C000269,3,2570,10442,19.309999,0.090000,2.000000,62,V0004,D001_5
123,C000271,671,1875,1762579,11.900000,0.094000,1.000000,53,V0267,D001_4
124,C000272,30,1171,79891,15.620000,0.177000,2.000000,28,V0064,D001_2
125,C000273,686,1928,1801992,16.209999,0.062000,2.000000,53,V0267,D001_4
126,C000274,947,48,2484976,3.360000,0.093000,3.000000,30,V0064,D001_2
127,C000276,1821,1590,4779894,13.100000,0.015000,2.000000,-1,,
128,C000278,2599,1019,6820795,19.290001,0.160000,1.000000,-1,,
129,C000280,1951,2188,5121612,18.410000,0.226000,2.000000,7,V0127,D001_1
130,C000282,1057,2509,2776077,17.260000,0.139000,2.000000,50,V0267,D001_4
131,C000283,2311,2142,6066206,3.350000,0.162000,1.000000,3,V0127,D001_1
132,C000285,1231,1502,3231646,16.670000,0.146000,3.000000,55,V0267,D001_4
133,C000291,1934,1044,5075860,6.360000,0.201000,1.000000,43,V0049,D001_3
134,C000293,205,2071,539991,0.710000,0.040000,1.000000,62,V0004,D001_5
135,C000295,235,829,617469,14.750000,0.126000,3.000000,27,V0064,D001_2
136,C000299,2310,913,6062353,12.040000,0.242000,1.000000,45,V0086,D001_3
137,C000301,2477,356,6500004,17.900000,0.243000,2.000000,-1,,
138,C000303,130,2283,343403,1.060000,0.249000,2.000000,62,V0004,D001_5
139,C000304,1210,17,3175057,18.750000,0.040000,3.000000,32,V0064,D001_2
140,C000305,77,2029,204077,11.030000,0.165000,2.000000,62,V0004,D001_5
141,C000307,10,1724,27964,11.150000,0.026000,2.000000,25,V0064,D001_2
142,C000310,2629,1516,6900012,19.270000,0.056000,2.000000,1,V0127,D001_1
143,C000313,1705,1855,4475775,14.850000,0.071000,2.000000,58,V0267,D001_4
144,C000314,589,326,1545862,24.629999,0.020000,1.000000,30,V0064,D001_2
145,C000321,2591,542,6799326,20.010000,0.209000,2.000000,-1,,
146,C000324,2066,2140,5423324,12.650000,0.100000,2.000000,7,V0127,D001_1
147,C000325,399,1054,1048030,20.030001,0.227000,3.000000,28,V0064,D001_2
148,C000326,177,91,464539,21.160000,0.215000,1.000000,24,V0064,D001_2
149,C000327,2460,2353,6457393,22.660000,0.187000,1.000000,3,V0127,D001_1
150,C000329,2343,2342,6150374,22.120001,0.134000,2.000000,3,V0127,D001_1
151,C000335,1447,797,3797725,18.430000,0.054000,2.000000,63,V0004,D001_5
152,C000336,355,1489,933009,1.610000,0.064000,2.000000,25,V0064,D001_2
153,C000337,672,934,1764262,15.310000,0.007000,2.000000,31,V0064,D001_2
154,C000339,2524,0,6622976,5.420000,0.119000,1.000000,-1,,
155,C000340,678,2001,1781073,5.720000,0.018000,2.000000,53,V0267,D001_4
156,C000343,2610,47,6848687,12.880000,0.095000,2.000000,-1,,
157,C000345,1642,94,4308702,3.810000,0.099000,3.000000,29,V0064,D001_2
158,C000346,271,2398,713502,15.130000,0.099000,2.000000,62,V0004,D001_5
159,C000347,326,1341,856765,16.270000,0.067000,3.000000,28,V0064,D001_2
160,C000348,1795,1771,4711851,5.600000,0.215000,1.000000,-1,,
161,C000353,1017,378,2668986,2.660000,0.215000,2.000000,32,V0064,D001_2
162,C000354,1446,1302,3795606,12.380000,0.106000,1.000000,60,V0267,D001_4
163,C000355,1963,95,5151007,2.810000,0.033000,2.000000,26,V0064,D001_2
164,C000356,1278,2269,3355741,19.209999,0.043000,2.000000,4,V0127,D001_1
165,C000357,914,52,2398388,20.490000,0.189000,2.000000,30,V0064,D001_2
166,C000358,2559,1199,6716015,8.270000,0.126000,2.000000,-1,,
167,C000360,1345,2590,3531870,3.040000,0.244000,1.000000,4,V0127,D001_1
168,C000362,1363,469,3576981,21.080000,0.074000,2.000000,32,V0064,D001_2
169,C000364,1435,1800,3767240,21.809999,0.228000,2.000000,58,V0267,D001_4
170,C000365,976,516,2561540,4.920000,0.018000,1.000000,32,V0064,D001_2
171,C000368,791,541,2076125,24.570000,0.035000,3.000000,33,V0064,D001_2
172,C000373,1080,2462,2836382,12.250000,0.160000,2.000000,50,V0267,D001_4
173,C000376,471,632,1236536,2.310000,0.220000,2.000000,27,V0064,D001_2
174,C000380,680,85,1784405,19.820000,0.236000,3.000000,30,V0064,D001_2
175,C000381,1703,2345,4471017,5.640000,0.065000,2.000000,4,V0127,D001_1
176,C000386,1550,748,4067948,21.290001,0.117000,3.000000,63,V0004,D001_5
177,C000390,1055,1635,2769955,0.210000,0.071000,2.000000,55,V0267,D001_4
178,C000391,1232,2143,3234911,10.820000,0.024000,2.000000,50,V0267,D001_4
179,C000392,606,1263,1591407,8.920000,0.095000,3.000000,31,V0064,D001_2
180,C000395,1349,1452,3541228,6.400000,0.158000,1.000000,60,V0267,D001_4
181,C000396,1543,2350,4051182,9.380000,0.046000,3.000000,4,V0127,D001_1
182,C000397,1341,422,3519206,8.270000,0.144000,2.000000,29,V0064,D001_2
183,C000398,1851,2581,4859605,22.080000,0.109000,2.000000,-1,,
184,C000399,300,680,787880,15.870000,0.060000,1.000000,27,V0064,D001_2
185,C000402,1454,2105,3817401,2.420000,0.203000,3.000000,58,V0267,D001_4
186,C000404,751,2275,1972899,22.940001,0.184000,3.000000,50,V0267,D001_4
187,C000406,997,1390,2617518,18.240000,0.203000,2.000000,63,V0004,D001_5
188,C000409,2423,864,6358816,22.530001,0.117000,3.000000,-1,,
189,C000410,974,135,2555911,2.330000,0.119000,2.000000,30,V0064,D001_2
190,C000411,238,1801,626313,14.660000,0.227000,1.000000,25,V0064,D001_2
191,C000412,2344,1587,6152243,15.420000,0.085000,2.000000,1,V0127,D001_1
192,C000415,2291,1703,6013287,4.240000,0.193000,2.000000,1,V0127,D001_1
193,C000417,1558,1012,4089204,6.710000,0.180000,3.000000,60,V0267,D001_4
194,C000418,559,722,1467538,16.309999,0.213000,2.000000,33,V0064,D001_2
195,C000419,345,1124,906404,22.170000,0.181000,1.000000,28,V0064,D001_2
196,C000422,1676,345,4398169,24.740000,0.215000,1.000000,29,V0064,D001_2
197,C000425,2248,1985,5900737,11.310000,0.194000,2.000000,11,V0231,D001_1
198,C000428,1726,738,4529762,9.850000,0.025000,2.000000,-1,,
199,C000430,1731,2421,4544565,14.050000,0.039000,1.000000,16,V0190,D001_1
200,C000431,1668,413,4377245,5.290000,0.144000,1.000000,29,V0064,D001_2
201,C000432,1850,1844,4856244,20.850000,0.009000,3.000000,18,V0190,D001_1
202,C000433,1393,1963,3657195,17.930000,0.128000,2.000000,58,V0267,D001_4
203,C000434,1087,1000,2853288,7.930000,0.111000,2.000000,33,V0064,D001_2
204,C000435,1847,416,4846944,17.450001,0.182000,1.000000,26,V0064,D001_2
205,C000436,1708,1650,4483442,22.370001,0.193000,3.000000,-1,,
206,C000438,44,573,116029,18.110001,0.246000,3.000000,27,V0064,D001_2
207,C000440,936,1435,2457499,13.820000,0.176000,2.000000,63,V0004,D001_5
208,C000441,1991,1375,5225759,0.930000,0.184000,2.000000,-1,,
209,C000442,2012,1039,5280527,22.129999,0.027000,2.000000,-1,,
210,C000444,848,948,2226100,9.040000,0.208000,2.000000,31,V0064,D001_2
211,C000445,77,505,202553,12.490000,0.201000,2.000000,27,V0064,D001_2
212,C000448,2414,1717,6336053,17.459999,0.172000,2.000000,1,V0127,D001_1
213,C000450,1361,981,3572245,13.940000,0.097000,1.000000,63,V0004,D001_5
214,C000451,1811,845,4752909,15.670000,0.201000,2.000000,-1,,
215,C000453,894,1517,2347373,17.010000,0.154000,2.000000,55,V0267,D001_4
216,C000456,2515,1285,6600645,7.870000,0.160000,1.000000,-1,,
217,C000457,1632,875,4283243,13.470000,0.145000,2.000000,-1,,
218,C000458,1542,2523,4048731,20.040001,0.123000,3.000000,4,V0127,D001_1
219,C000462,233,1520,612912,6.720000,0.124000,2.000000,25,V0064,D001_2
220,C000466,353,2613,928885,2.120000,0.029000,2.000000,62,V0004,D001_5
221,C000468,2521,1026,6616130,15.630000,0.199000,2.000000,-1,,
222,C000469,2204,1316,5784612,1.450000,0.181000,3.000000,-1,,
223,C000471,1642,227,4308835,5.940000,0.011000,2.000000,29,V0064,D001_2
224,C000473,379,2497,996993,1.000000,0.107000,2.000000,62,V0004,D001_5
225,C000474,1288,566,3380278,22.490000,0.153000,2.000000,32,V0064,D001_2
226,C000476,997,2483,2618611,16.760000,0.088000,2.000000,50,V0267,D001_4
227,C000478,540,1109,1418069,13.730000,0.225000,3.000000,31,V0064,D001_2
228,C000480,1448,1042,3800594,6.510000,0.202000,2.000000,60,V0267,D001_4
229,C000481,2184,1912,5732728,20.830000,0.238000,2.000000,14,V0231,D001_1
230,C000485,2336,1122,6130786,23.400000,0.136000,2.000000,39,V0049,D001_3
231,C000486,2268,2148,5953380,1.040000,0.128000,2.000000,3,V0127,D001_1
232,C000488,1243,903,3262535,16.950001,0.055000,2.000000,63,V0004,D001_5
233,C000490,2367,956,6211964,22.580000,0.162000,1.000000,-1,,
234,C000494,2188,1300,5742612,0.780000,0.107000,2.000000,-1,,
235,C000495,2340,2242,6142402,23.190001,0.113000,2.000000,3,V0127,D001_1
236,C000499,2126,259,5578883,9.650000,0.129000,3.000000,26,V0064,D001_2
237,C000501,874,2552,2295928,6.220000,0.076000,2.000000,50,V0267,D001_4
238,C000502,479,1800,1258696,5.100000,0.033000,2.000000,62,V0004,D001_5
239,C000504,670,279,1758359,8.910000,0.024000,2.000000,30,V0064,D001_2
240,C000507,101,1879,266903,4.350000,0.212000,2.000000,25,V0064,D001_2
241,C000508,2516,687,6602671,20.799999,0.028000,2.000000,-1,,
242,C000514,1482,248,3889016,23.879999,0.034000,2.000000,29,V0064,D001_2
243,C000515,843,1700,2213732,5.890000,0.011000,2.000000,55,V0267,D001_4
244,C000517,2632,1327,6907695,7.720000,0.222000,2.000000,-1,,
245,C000519,1549,252,4064828,15.140000,0.066000,2.000000,29,V0064,D001_2
246,C000522,1442,1447,3785255,16.200001,0.050000,2.000000,60,V0267,D001_4
247,C000524,498,2071,1308823,21.760000,0.023000,2.000000,53,V0267,D001_4
248,C000525,1141,157,2994141,11.150000,0.189000,1.000000,32,V0064,D001_2
249,C000526,167,1005,439213,21.320000,0.198000,2.000000,28,V0064,D001_2
250,C000527,1120,168,2939048,3.190000,0.045000,2.000000,32,V0064,D001_2
251,C000528,131,1826,345570,8.980000,0.140000,1.000000,25,V0064,D001_2
252,C000531,387,278,1015766,4.840000,0.147000,3.000000,24,V0064,D001_2
253,C000534,339,172,889708,14.520000,0.018000,2.000000,24,V0064,D001_2
254,C000536,2355,1756,6181276,21.280001,0.209000,2.000000,1,V0127,D001_1
255,C000537,420,1839,1103919,24.700001,0.027000,3.000000,25,V0064,D001_2
256,C000541,407,1712,1069680,5.730000,0.219000,3.000000,25,V0064,D001_2
257,C000545,669,637,1756093,23.830000,0.172000,2.000000,33,V0064,D001_2
258,C000548,796,1872,2090576,5.560000,0.097000,2.000000,55,V0267,D001_4
259,C000552,1054,1745,2767441,13.440000,0.074000,2.000000,55,V0267,D001_4
260,C000555,496,1223,1302727,1.950000,0.092000,2.000000,28,V0064,D001_2
261,C000557,2046,1631,5370335,19.990000,0.230000,2.000000,-1,,
262,C000559,1092,2134,2867542,2.100000,0.017000,2.000000,50,V0267,D001_4
263,C000560,1187,41,3114729,2.720000,0.154000,2.000000,32,V0064,D001_2
264,C000562,2357,2325,6187093,10.220000,0.216000,2.000000,3,V0127,D001_1
265,C000567,515,452,1351812,9.280000,0.197000,3.000000,24,V0064,D001_2
266,C000568,2252,1301,5910549,4.910000,0.169000,2.000000,-1,,
267,C000571,118,2026,311658,10.160000,0.117000,2.000000,62,V0004,D001_5
268,C000572,118,688,310320,3.530000,0.213000,2.000000,27,V0064,D001_2
269,C000573,675,1499,1772699,5.380000,0.212000,2.000000,34,V0064,D001_2
270,C000575,2404,2409,6310505,19.889999,0.048000,1.000000,3,V0127,D001_1
271,C000587,312,1148,819836,21.160000,0.063000,2.000000,28,V0064,D001_2
272,C000590,445,955,1168635,22.100000,0.062000,2.000000,31,V0064,D001_2
273,C000592,1125,1247,2953247,3.830000,0.247000,2.000000,60,V0267,D001_4
274,C000593,1447,2337,3799265,17.620001,0.108000,3.000000,4,V0127,D001_1
275,C000594,1059,1223,2780039,14.900000,0.224000,2.000000,60,V0267,D001_4
276,C000596,631,1945,1657689,4.380000,0.163000,3.000000,53,V0267,D001_4
277,C000599,2291,470,6012054,20.480000,0.128000,2.000000,-1,,
278,C000600,1689,2393,4434329,3.080000,0.156000,3.000000,4,V0127,D001_1
279,C000608,588,2349,1545261,2.440000,0.243000,2.000000,53,V0267,D001_4
280,C000609,1684,583,4419399,19.389999,0.080000,2.000000,-1,,
281,C000610,624,1921,1639297,18.500000,0.125000,2.000000,53,V0267,D001_4
282,C000612,1551,1007,4070831,1.080000,0.131000,3.000000,60,V0267,D001_4
283,C000615,1685,1693,4423133,17.340000,0.245000,2.000000,58,V0267,D001_4
284,C000616,1485,1921,3898561,18.730000,0.222000,2.000000,58,V0267,D001_4
285,C000617,804,1576,2111272,16.680000,0.184000,2.000000,55,V0267,D001_4
286,C000620,1964,336,5153872,15.650000,0.057000,1.000000,26,V0064,D001_2
287,C000626,2012,1085,5280573,8.960000,0.177000,1.000000,-1,,
288,C000629,1253,1997,3289869,7.490000,0.223000,2.000000,55,V0267,D001_4
289,C000630,1843,1739,4837771,14.320000,0.227000,2.000000,-1,,
290,C000632,838,51,2198963,5.430000,0.094000,2.000000,30,V0064,D001_2
291,C000633,2592,934,6802342,23.230000,0.058000,2.000000,-1,,
292,C000637,866,897,2273281,4.120000,0.189000,2.000000,31,V0064,D001_2
293,C000640,2646,1471,6944575,19.580000,0.180000,1.000000,-1,,
294,C000641,2267,2253,5950861,23.559999,0.180000,1.000000,3,V0127,D001_1
295,C000645,1548,412,4062364,4.180000,0.079000,2.000000,29,V0064,D001_2
296,C000646,2426,956,6366780,17.469999,0.120000,2.000000,-1,,
297,C000650,1333,2237,3500029,9.930000,0.190000,2.000000,4,V0127,D001_1
298,C000651,1065,1530,2796090,17.580000,0.232000,3.000000,55,V0267,D001_4
299,C000652,281,579,737923,19.410000,0.078000,2.000000,27,V0064,D001_2
300,C000653,2310,1371,6062811,0.890000,0.107000,2.000000,36,V0049,D001_3
301,C000656,428,2437,1125509,9.300000,0.123000,3.000000,62,V0004,D001_5
302,C000657,2434,1013,6387829,22.450001,0.145000,2.000000,-1,,
303,C000661,18,2063,49295,12.550000,0.142000,1.000000,62,V0004,D001_5
304,C000663,716,1870,1880654,6.480000,0.145000,2.000000,53,V0267,D001_4
305,C000671,1807,41,4741609,17.830000,0.194000,2.000000,29,V0064,D001_2
306,C000672,1016,112,2666096,14.650000,0.049000,3.000000,32,V0064,D001_2
307,C000675,835,150,2191190,12.500000,0.120000,1.000000,30,V0064,D001_2
308,C000676,25,661,66261,17.430000,0.154000,3.000000,27,V0064,D001_2
309,C000678,1883,303,4941295,20.400000,0.173000,2.000000,26,V0064,D001_2
310,C000680,127,15,333263,20.680000,0.183000,2.000000,24,V0064,D001_2
311,C000682,1864,2253,4893389,6.090000,0.212000,2.000000,7,V0127,D001_1
312,C000685,1939,732,5088668,11.980000,0.036000,2.000000,38,V0049,D001_3
313,C000688,2315,2211,6076771,18.360001,0.143000,2.000000,3,V0127,D001_1
314,C000689,1683,1413,4417605,9.510000,0.165000,3.000000,-1,,
315,C000690,1546,1972,4058676,4.620000,0.152000,3.000000,58,V0267,D001_4
316,C000691,276,936,725160,15.500000,0.200000,2.000000,31,V0064,D001_2
317,C000693,2329,201,6111497,17.930000,0.076000,1.000000,-1,,
318,C000698,1398,328,3668680,6.850000,0.148000,2.000000,29,V0064,D001_2
319,C000702,109,1627,287643,18.510000,0.034000,2.000000,25,V0064,D001_2
320,C000704,324,410,850586,12.410000,0.032000,1.000000,24,V0064,D001_2
321,C000706,2544,1649,6677105,22.219999,0.053000,2.000000,1,V0127,D001_1
322,C000710,1919,1178,5036634,12.410000,0.224000,2.000000,-1,,
323,C000714,390,1283,1024643,1.510000,0.212000,2.000000,28,V0064,D001_2
324,C000717,1655,2127,4344847,12.530000,0.249000,2.000000,58,V0267,D001_4
325,C000719,652,1229,1712077,15.940000,0.007000,3.000000,31,V0064,D001_2
326,C000720,270,1240,709720,2.030000,0.176000,3.000000,28,V0064,D001_2
327,C000724,2011,1688,5278552,4.820000,0.020000,2.000000,20,V0190,D001_1
328,C000727,1234,1584,3239600,6.830000,0.023000,2.000000,55,V0267,D001_4
329,C000729,36,733,95197,18.139999,0.057000,2.000000,27,V0064,D001_2
330,C000730,614,1509,1612645,4.140000,0.170000,1.000000,34,V0064,D001_2
331,C000733,2366,2411,6210795,19.740000,0.126000,1.000000,3,V0127,D001_1
332,C000734,1268,2230,3329462,4.590000,0.184000,3.000000,4,V0127,D001_1
333,C000738,1658,2232,4352824,9.910000,0.045000,2.000000,4,V0127,D001_1
334,C000739,708,1622,1859414,21.600000,0.224000,2.000000,34,V0064,D001_2
335,C000751,2496,1782,6551286,11.270000,0.054000,3.000000,1,V0127,D001_1
336,C000752,2188,341,5741653,7.580000,0.194000,3.000000,26,V0064,D001_2
337,C000753,1325,1361,3478161,17.940001,0.178000,3.000000,60,V0267,D001_4
338,C000755,2351,1820,6170844,10.050000,0.066000,2.000000,1,V0127,D001_1
339,C000757,2320,981,6088661,4.610000,0.241000,2.000000,-1,,
340,C000761,1675,2338,4397538,19.150000,0.084000,3.000000,4,V0127,D001_1
341,C000767,438,281,1149593,5.990000,0.077000,2.000000,24,V0064,D001_2
342,C000769,72,2541,191469,22.150000,0.228000,2.000000,62,V0004,D001_5
343,C000772,2167,56,5686264,19.770000,0.094000,2.000000,26,V0064,D001_2
344,C000773,2202,1845,5779893,15.620000,0.095000,1.000000,1,V0127,D001_1
345,C000776,233,2528,613920,13.730000,0.011000,3.000000,62,V0004,D001_5
346,C000777,581,2413,1526957,13.160000,0.096000,3.000000,53,V0267,D001_4
