vehicle_id,trip_idx,depot_id,center_cell_linear,center_row,center_col,center_customer_id,trip_km,member_cells,load_w,load_v
V0064,11,D001_2,4637367,1767,759,C000924,12.860000,4419399 4330156 4566362 4393218 4547912 4605754 4177951 4550696 4702853 4125463 4464129 5222548 4067811 4054779 4736755 4319836 4529762 4637367 4067948 4277896 4705617 4010209 4521945 3970765 3962942 4860156 4878610 4896897 3907971 3863293 4364556 4752909 3842176 4766038 3637790 4291104 4301609 4283243 4367220 4629627 4708351 4684749 4687373 4765793 5083550 5088668 4301685 3807961 4472262 5164867 5183212 5111979 5206464 5217305 4787169 4789798 5220002 4629738 5075860 5225061 5193900 4983981 4070831 4089204 4999477 5296223,832.840002,8.250000
V0086,1,D001_3,5655655,2155,935,C003000,13.270000,5876016 5655655 5335279 5277938,51.460000,0.243000
V0086,2,D001_3,5752471,2192,663,C003807,17.254000,5752471,8.640000,0.109000
V0086,3,D001_3,6104482,2326,1058,C002070,15.422000,6104482 6246186,42.610001,0.231000
V0086,4,D001_3,6014934,2292,726,C004124,17.920000,6014934,19.530001,0.226000
V0086,5,D001_3,4716788,1797,1460,C000876,5.456000,4745635 4716788 4829666 4540986,49.700001,0.222000
V0127,1,D001_1,6160269,2347,1741,C001755,17.024000,6548655 6551286 6490912 6525078 6616825 6441011 6341366 6336053 6566941 6679774 6220544 6677105 6356953 6553751 6181276 6170844 6160269 6115709 6152243 6081404 6050009 6034258 6013287 6008092 6023661 5976697 5963451 6545828 6194503 5989839 5932026 6779355 6784898 6165667 6312611 5876927 6260132 5745589 6401832 6425090 5863670 6411969 5863665 6312247 6451700 6868558 6026625 6058119 5779893 5797919 6900012 6238749 6034510 5837713 5869151,736.919997,6.536000
V0127,2,D001_1,5754232,2192,2424,C003792,22.146000,5754232,7.350000,0.209000
V0127,3,D001_1,5853839,2230,2319,C000964,21.030000,5830255 5790886 5824990 5853839 5809314 5901162 5993008 6050583 6071752 6016651 5950861 6087407 5798865 6089937 6105686 6134662 5515424 6158195 6150374 5699177 5507500 6155556 5782899 6027249 6076771 5772382 6155482 5874708 6187093 5727758 6210795 5481267 5460222 6200056 5974388 6268278 6271150 5735919 6100335 5428595 5851378 6249896 5415672 5953380 6310505 5993087 6318446 6066206 5386678 5423324 5384105 6336832 6347333 5347320 6365464 6318074 5263374 6142402,736.930000,6.999000
V0127,4,D001_1,4883010,1860,2370,C001054,17.852000,5150805 5184898 4980305 4943482 4927827 4925136 4838486 4859605 4778118 4804356 4715199 4702173 4877803 5208428 4793810 5045714 4883010 4618053 4807167 4964332 4591724 4560271 4544565 5019419 4510455 4659917 4471017 5614829 4457945 4491965 4434329 4628411 4397538 4339777 5237178 4589011 4893389 4290108 5266075 5307989 4352824 4759516 5061262 5121612 5315872 5323771 5323839 5000902 5247554 4248023 4449851 4767326 4216285 4861784 4323857 4804045 4853864 4468481,736.760003,6.591000
V0127,5,D001_1,6740508,2568,2076,C000195,23.544000,6740508,5.350000,0.161000
V0127,6,D001_1,6724650,2562,1962,C001783,22.488000,6724650,12.940000,0.037000
V0127,7,D001_1,6782354,2584,1938,C002899,22.732000,6782354,5.230000,0.083000
V0127,8,D001_1,5494557,2093,2525,C003924,22.716000,5494557,12.520000,0.043000
V0127,9,D001_1,6583164,2508,2172,C001252,23.438000,6583164,8.970000,0.176000
V0127,10,D001_1,5291895,2016,1911,C004154,12.330000,5617451 5578081 5751260 5564900 5407502 5609499 5832655 5837843 5305133 5869244 5871874 5646171 5630410 5685497 5732728 5336553 5885066 5900737 5291895 5278897 5538523 5979409 5231640 5228925 5221241 6021467 5632957 5604091 5186971 5184378 6079198 5139902 5703776 4879510 5367901 5310164 5071692 5651275 5045347 5089713 5488547 5624981 5265470 5682684 5698424 5031930 5197220 5042402 5278552 5501587 4992691 4990323 4963989 4948239 4948302 4929860 4921861 4756687 4711851 4683280 6304915 5116011,736.900001,8.586000
V0127,11,D001_1,4779894,1821,1590,C000276,6.034000,4622439 4779894 4483442 4845565 4853424 4953051 5094687 4423133 4399283 4837771 4373202 5194416 4682971 4512417 5141835 5210055 4473061 4417605 4533059 5254835 5026368 4294617 4291893 5280992 4721974 5286199 5294017 5309936 4359851 4475299 5225759 4200122 4278933 5370335 5372711 5378107 4992209 4493648 4569744 4965967 4530380 4900834 5354313 4856244 4635836 4475775 5477717 5309673 4276454 5034144 4745503 4740247 4019112 5173212 4523085 5742612 4596489,736.930008,6.997000
V0190,1,D001_1,3969947,1512,2459,C000950,18.322000,3969947,6.870000,0.237000
V0190,2,D001_1,4067010,1549,2434,C002325,17.812000,4067010,23.200001,0.221000
V0190,3,D001_1,3964621,1510,2381,C001314,16.758000,4024993 3875376 3513387 3964621,64.360001,0.406000
V0190,4,D001_1,5637802,2148,1450,C001613,12.682000,4971430 5708726 5223265 6117992 5637802 5669157,73.359999,0.376000
V0190,5,D001_1,4231970,1612,2082,C001774,10.916000,4231970 4153135 4166349 4302829 4436555 4468092 4224104,80.010001,0.401000
V0231,1,D001_1,4051182,1543,2350,C000396,16.148000,4051182 4074802 4009295 3634016,30.000000,0.269000
V0231,2,D001_1,3975195,1514,2459,C000113,18.316000,3975195,17.350000,0.224000
V0231,3,D001_1,4038159,1538,2447,C004019,18.082000,4038159,5.120000,0.072000
V0231,4,D001_1,4103413,1563,2101,C002001,11.178000,4103413 4339453,10.010000,0.263000
V0231,5,D001_1,4060879,1547,1551,C000888,0.488000,4013661 4060879 4150143 4207796,42.240000,0.261000
V0267,1,D001_4,3182641,1212,2353,C003413,16.828000,3463669 3531870 3605322 3529174 3728648 3374327 3697063 3571102 3602585 3264172 3256233 3815082 3237917 3256161 3209106 3544789 3182851 3891390 3151422 3127553 3481785 3182641 3080554 3056818 3049033 2975333 3471254 3799265 3122256 2928363 3200970 2912564 3854378 2886080 3754610 2854678 2841605 2836382 2781188 2776077 2760237 3074986 2739305 3119587 3355741 3431833 3678487 2644653 3547263 3119549 3500029 3510518 3329462 2786295 2799404 3124779 3174620 2862358 2725907 3258578 3261200 3652172 2801991 3321540 3489469 2901690 3072243 3234911 2471148 2618525 2610734 2867542 3510417 2592223 2589396 3531404 2581771 2576494 2901641 3659971 2943618 3665210 2788789 2618611,1012.230004,10.010000
V0267,2,D001_4,1873240,713,2328,C004375,21.428000,2117371 2190882 1999293 1967862 2303656 1928430 2007260 1873240 1789454 1771040 1807830 1807834 1852478 2211964 1731603 2246063 1676507 1671362 2295928 1545261 1534880 1526957 1707913 2455753 2117237 2290420 1972899 1513793 1511328 2185418 1498037 2361234 1492807 1555655 2209024 1437772 1419485 1437547 2474328 2476968 1781073 2482143 2482255 1448024 2308680 2552845 1655291 1282778 1272352 2248304 1870438 1230603 2075095 2366340 1133346 1125509 2731069 1492539 1209147 1854642 1382315 2473899 1293094 2159002 1308823 1437392 2161615 2106505 1636802 1377497,919.399998,10.015000
V0267,3,D001_4,980867,373,2115,C004060,24.288000,980867,2.310000,0.187000
V0267,4,D001_4,962504,366,2120,C001766,24.450000,962504,3.340000,0.108000
V0267,5,D001_4,1001977,381,2233,C003648,25.348000,1001977,11.310000,0.216000
V0267,6,D001_4,975633,371,2129,C001639,24.456000,975633,9.250000,0.018000
V0267,7,D001_4,1880654,716,1870,C000663,15.932000,1290394 1143450 1248347 1463602 1463560 1384790 1111907 1471404 1298193 1090932 1497705 1067300 1253565 1132850 1290275 1072506 1332247 1308604 991191 1539694 1542111 1581508 1618317 1620929 1634029 1639297 1644573 1657689 1689108 1704990 1647067 1725986 1723150 1563081 1258696 1762579 1773211 1801992 1817768 1872844 1878143 1880654 1935763 1977883 1114749 1699481 2032850 1959247 2067119 2082860 2085478 2090576 2095934 2106388 2127213 2127471 1906761 2156202 1940852 2001192 2226987 2232199 2234966 2064152 2311025 2095609 1051803 2444676 2452514 2090310 2463108 2111272 2481536 2494606 2552423 2557404 2557608 2589004 2591743 2531089 2609799 2636285 2565188 2657522 2712252,1092.270002,10.009000
V0267,8,D001_4,3323845,1266,1861,C001032,7.242000,2770369 2717918 2788780 2757202 3037933 2932953 3053657 3124485 3134935 3140319 3284574 3289869 3308279 3323845 3350303 2885272 3381701 3455216 3471024 3476265 3523287 3547008 3536384 3575786 3636233 3373861 3486524 3565232 2846250 3552074 3297525 2903919 3116463 3751620 3767240 3552036 3780602 3200405 2756957 3817401 2767441 2733335 3439180 3838038 2725463 2720251 3851492 3208255 3775037 3890839 3827510 3898549 3898561 3465392 3255472 3504739 3444385 3525721 3706764 2935298 3014013 3294776 3693623 3688375 3885188 2756899 3898318 3612264 3916968 2769955 3922035 3937943 3937995 2790936 3961260 3795919 2675523 3389197 2922123 4003654 4005895 3657195,1084.120001,10.019000
V0267,9,D001_4,3163222,1205,1302,C000812,6.704000,3239600 3378637 3231646 3402202 3446768 3541228 3186962 3562167 3675169 3688317 3336490 3105597 3105670 3100409 3719580 3139675 3738071 3478161 3247240 3761608 3777288 3777364 3785255 3795606 3163222 3037380 3630290 3019024 3480717 3003305 2984847 2979769 3255031 3076598 3202530 2953247 2961099 2887863 2869497 3299576 2961073 2921706 2832592 2796090 2780039 2764613 2759087 3816461 2751188 2743554 3430727 3737733 2730377 3079106 3323136 2722262 2719834 3105342 2706724 2984632 3816431 3375598 2648807 2643491 2640922 2635712 2748445 2617518 3068563 3372939 3073800 2924229 2596229 2596536 3480477 4002656,1003.390004,10.020000
